per_fill,bits,num_of_insertion_call,num_of_insert,length_of_sequence,num_of_buckets,bucket_size,MNK,avg_MNK,sum_MNK,reduce,tp,fp,fn,tn,not_stored,random,insertion_time,insertion_time_avg,fingerprint_size,row_fill
0.829418,1.72519e+08,5391220,5391220,20,6500,1000,100,0,0,0,10000,0,0,0,0,True,16060.5,0.00297902,18,0
1,1.28e+08,144737104,4000000,20,4000,1000,100,25.8468,1.39346e+08,0,199,0,9797,0,1391220,True,491544,0.0911749,18,4000
0.120294,1.73223e+08,5413234,5413234,30,45000,1000,100,0,0,0,9998,0,0,0,0,True,40241.7,0.00743395,18,0
0.135331,1.73223e+08,5413234,5413234,30,40000,1000,100,0,0,0,9999,0,0,0,0,True,41297.1,0.00762891,18,0
0.180441,1.73223e+08,5413234,5413234,30,30000,1000,100,0,0,0,9998,0,0,0,0,True,39456,0.0072888,18,0
0.270662,1.73223e+08,5413234,5413234,30,20000,1000,100,0,0,0,10000,0,0,0,0,True,35401.5,0.00653981,18,0
0.360882,1.73223e+08,5413234,5413234,30,15000,1000,100,0,0,0,10000,0,0,0,0,True,35200.8,0.00650274,18,0
0.541323,1.73223e+08,5413234,5413234,30,10000,1000,100,0,0,0,9999,0,0,0,0,True,34784.3,0.00642579,18,0
0.676654,1.73223e+08,5413234,5413234,30,8000,1000,100,0,0,0,9998,0,0,0,0,True,35206.2,0.00650372,18,0
0.773319,1.73223e+08,5413234,5413234,30,7000,1000,100,0,0,0,9999,0,0,0,0,True,16671.7,0.00307981,18,0
0.784527,1.73223e+08,5413234,5413234,30,6900,1000,100,0,0,0,9999,0,0,0,0,True,16278.2,0.0030071,18,0
0.832805,1.73223e+08,5413234,5413234,30,6500,1000,100,0,0,0,9998,0,0,0,0,True,16381,0.0030261,18,0
0.902206,1.73223e+08,5413234,5413234,30,6000,1000,100,0,0,0,10000,0,0,0,0,True,34617.5,0.00639497,18,5
1,1.6e+08,47026188,5000000,30,5000,1000,100,7.68726,4.1613e+07,0,419,0,9581,0,413234,True,69506.2,0.0128401,18,5000
0.776635,1.73966e+08,5436444,5436444,50,7000,1000,100,0,0,0,10000,0,0,0,0,True,35269.4,0.00648759,18,0
1,1.6e+08,49353516,5000000,50,5000,1000,100,8.07827,4.39171e+07,0,389,0,9610,0,436444,True,168930,0.0310736,18,5000
0.906074,1.73966e+08,5436444,5436444,50,6000,1000,100,0,0,0,9998,0,0,0,0,True,36852.1,0.00677872,18,7
0.836376,1.73966e+08,5436444,5436444,50,6500,1000,100,0,0,0,9997,0,0,0,0,True,16152.9,0.00297122,18,0
0.78789,1.73966e+08,5436444,5436444,50,6900,1000,100,0,0,0,10000,0,0,0,0,True,16856.5,0.00310066,18,0
